ward,ticket_count,ticket_count_rank,current_amount_due,current_amount_due_rank,fine_level1_amount,fine_level1_amount_rank,total_payments,total_payments_rank,avg_per_ticket,avg_per_ticket_rank,paid_pct,paid_pct_rank,police_ticket_count,police_ticket_count_rank,police_ticket_count_pct,police_ticket_count_pct_rank,contested_ticket_count,contested_ticket_count_rank,contested_ticket_count_pct,contested_ticket_count_pct_rank,paid_ticket_count,paid_ticket_count_rank,paid_ticket_count_pct,paid_ticket_count_pct_rank,dismissed_ticket_count,dismissed_ticket_count_rank,dismissed_ticket_count_pct,dismissed_ticket_count_pct_rank,seized_or_suspended_ticket_count,seized_or_suspended_ticket_count_rank,seized_or_suspended_ticket_count_pct,seized_or_suspended_ticket_count_pct_rank,bankruptcy_ticket_count,bankruptcy_ticket_count_rank,bankruptcy_ticket_count_pct,bankruptcy_ticket_count_pct_rank
11,117,0,7054.9399997107685,0,9230,0,4682.459999026731,0,0.0010063214766233841,0,-0.00019168130436397757,0,58,0,0.00014020436637451894,0,7,0,-3.193899086605112e-05,0,52,0,-0.00018142808131449417,0,6,0,-1.9694357960384212e-05,0,19,0,-9.70630523233762e-07,0,0,0,-3.785909744172429e-06,0
12,128,0,4067.6899984143674,0,9565,0,8529.149999121204,0,-0.007662542256596794,0,7.198299761546068e-05,0,46,0,-1.043885041712711e-05,0,12,0,1.9139570118537064e-05,0,85,0,1.1511525976670711e-05,0,13,0,3.6648111654921656e-05,0,22,0,-5.351143586820872e-05,0,0,0,-5.334059335864415e-06,0
13,0,0,2.691522240638733e-07,0,0,0,-1.7136335372924805e-07,0,-4.263256414560601e-14,0,-2.3425705819590803e-14,0,0,0,0.0,0,0,0,2.7755575615628914e-17,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,0.0,0
14,0,0,-1.2926757335662842e-06,0,0,0,-7.580965757369995e-07,0,4.263256414560601e-14,0,2.0095036745715333e-14,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-8.673617379884035e-19,0
15,0,0,-2.6114284992218018e-06,0,0,0,-9.741634130477905e-07,0,0.0,0,3.341771304121721e-14,0,0,0,0.0,0,0,0,-6.938893903907228e-18,0,0,0,-1.1102230246251565e-16,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,3.469446951953614e-18,0
16,0,0,-2.8312206268310547e-07,0,0,0,-1.4211982488632202e-06,0,2.842170943040401e-14,0,-2.5979218776228663e-14,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,1.3877787807814457e-17,0,0,0,0.0,0,0,0,0.0,0
17,73,0,7599.799998499453,0,6615,0,3967.429998362437,0,-0.0041850854262719395,0,-5.72318136959904e-06,0,61,0,4.847330565860286e-05,0,7,0,-4.570665202152657e-06,0,32,0,5.971855143949156e-06,0,10,0,2.0810210805397023e-05,-1,33,0,5.711643519479281e-06,0,2,0,-6.011612884319895e-06,0
18,0,0,-2.0675361156463623e-07,0,0,0,7.264316082000732e-08,0,2.842170943040401e-14,0,1.3655743202889425e-14,0,0,0,5.551115123125783e-17,0,0,0,-4.163336342344337e-17,0,0,0,-1.1102230246251565e-16,0,0,0,1.3877787807814457e-17,0,0,0,0.0,0,0,0,-3.469446951953614e-18,0
19,3,0,312.6900002155453,0,180,0,103.70000012032688,0,-0.0019042435997818075,0,-1.906733245138348e-05,0,3,0,2.3230238096361155e-05,0,0,0,-6.848256109623363e-06,0,0,0,-3.528505915717517e-05,0,0,0,-5.107940200588246e-06,0,3,0,4.163710949098287e-05,0,0,0,-9.472085408177011e-07,0
20,0,0,3.3155083656311035e-06,0,0,0,-2.0209699869155884e-06,0,-1.4210854715202004e-14,0,-7.138734048339757e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,1.3877787807814457e-17,0,0,0,0.0,0,0,0,0.0,0
