ward,ticket_count,ticket_count_rank,current_amount_due,current_amount_due_rank,fine_level1_amount,fine_level1_amount_rank,total_payments,total_payments_rank,avg_per_ticket,avg_per_ticket_rank,paid_pct,paid_pct_rank,police_ticket_count,police_ticket_count_rank,police_ticket_count_pct,police_ticket_count_pct_rank,contested_ticket_count,contested_ticket_count_rank,contested_ticket_count_pct,contested_ticket_count_pct_rank,paid_ticket_count,paid_ticket_count_rank,paid_ticket_count_pct,paid_ticket_count_pct_rank,dismissed_ticket_count,dismissed_ticket_count_rank,dismissed_ticket_count_pct,dismissed_ticket_count_pct_rank,seized_or_suspended_ticket_count,seized_or_suspended_ticket_count_rank,seized_or_suspended_ticket_count_pct,seized_or_suspended_ticket_count_pct_rank,bankruptcy_ticket_count,bankruptcy_ticket_count_rank,bankruptcy_ticket_count_pct,bankruptcy_ticket_count_pct_rank
11,449,0,24017.940000653267,0,29670,0,17959.69000414014,0,0.0018043412950561333,0,-0.00018141444931740747,0,232,0,5.287497169625954e-05,0,20,0,-3.1597995056878436e-05,0,208,0,-0.00013133742664961368,0,17,0,-2.932489487049439e-05,0,130,0,3.319619025796139e-05,0,3,0,7.198187540712053e-07,0
12,802,0,23408.000020869076,0,47275,0,41880.980008624494,0,-0.0034165497738882777,0,8.41520194859724e-05,0,473,0,8.71334923728817e-05,0,38,0,7.0578214800276484e-09,0,495,0,4.439428519320554e-05,0,42,0,2.7763814121548047e-06,0,185,0,-6.284368320108591e-05,0,1,0,-3.28885621882994e-06,0
13,0,0,-2.3711472749710083e-06,0,0,0,-1.0691583156585693e-06,0,1.4210854715202004e-14,0,3.419486915845482e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,2.7755575615628914e-17,0,0,0,8.673617379884035e-19,0
14,0,0,8.527189493179321e-06,0,0,0,4.045665264129639e-06,0,2.842170943040401e-14,0,-4.807265696626928e-14,0,0,0,1.6653345369377348e-16,0,0,0,0.0,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
15,0,0,2.4653971195220947e-05,0,0,0,6.839632987976074e-06,0,-2.842170943040401e-14,0,-1.1690648449302898e-13,0,0,0,1.1102230246251565e-16,0,0,0,0.0,0,0,0,1.1102230246251565e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,1.734723475976807e-18,0
16,0,0,4.6156346797943115e-05,0,0,0,1.0482966899871826e-05,0,-4.263256414560601e-14,0,-1.6053824936079764e-13,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,5.551115123125783e-17,0,0,0,-1.3877787807814457e-17,0,0,0,-5.551115123125783e-17,0,0,0,-3.469446951953614e-18,0
17,349,0,19882.400034420192,0,23890,0,17136.530009806156,0,-0.0020389575061585674,0,-2.4180535276863147e-06,0,283,0,7.803109258897045e-05,0,25,-1,-8.725616408161718e-07,0,168,0,-7.195541267268624e-06,0,35,0,1.1421601799371794e-05,0,145,-1,-1.6755680701030506e-05,0,6,0,-4.1378460956913166e-06,0
18,0,0,-3.0063092708587646e-06,0,0,0,-1.689419150352478e-06,0,-2.842170943040401e-14,0,3.1308289294429414e-14,0,0,0,1.1102230246251565e-16,0,0,0,-1.3877787807814457e-17,0,0,0,1.1102230246251565e-16,0,0,0,0.0,0,0,0,-5.551115123125783e-17,0,0,0,0.0,0
19,58,0,3719.089999162592,0,4450,0,2402.4999988693744,0,0.001403784814627329,0,-7.172783593123455e-05,0,37,0,1.1009505534786967e-05,0,7,0,2.670216916411672e-06,0,19,0,-8.174453314380159e-05,0,5,0,-1.5294315882374843e-06,0,23,0,2.9222482460233845e-05,0,1,0,1.6744062273591626e-06,0
20,0,0,4.8197805881500244e-05,0,0,0,1.245737075805664e-05,0,-1.4210854715202004e-14,0,-1.6042722705833512e-13,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,-5.551115123125783e-17,0,0,0,0.0,0
21,0,0,1.5191733837127686e-05,0,0,0,5.085021257400513e-06,0,2.842170943040401e-14,0,-7.693845560652335e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
22,0,0,2.104043960571289e-05,0,0,0,5.036592483520508e-06,0,-2.842170943040401e-14,0,-1.0247358517290195e-13,0,0,0,5.551115123125783e-17,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0
23,0,0,-2.3208558559417725e-06,0,0,0,3.2223761081695557e-06,0,1.4210854715202004e-14,0,5.3290705182007514e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,2.7755575615628914e-17,0,0,0,-4.336808689942018e-19,0
24,0,0,5.628913640975952e-05,0,0,0,1.1324882507324219e-05,0,0.0,0,-1.8751666885918894e-13,0,0,0,0.0,0,0,0,0.0,0,0,0,-5.551115123125783e-17,0,0,0,0.0,0,0,0,-1.6653345369377348e-16,0,0,0,0.0,0
25,4184,0,178668.59002109617,0,243795,0,180162.0599873811,0,-0.0028506637370995236,0,-0.00047571095989740186,1,2724,0,0.0005345567926455796,0,213,0,-5.570113954984912e-05,0,2047,0,-0.00044786962972420685,0,260,0,-1.8740440758294175e-05,0,1378,-1,0.00025149762740589443,0,37,0,1.0033825019959905e-05,0
26,0,0,3.063678741455078e-05,0,0,0,1.3031065464019775e-05,0,7.105427357601002e-15,0,-1.3022916078853086e-13,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-6.938893903907228e-18,0,0,1,-5.551115123125783e-17,0,0,0,-8.673617379884035e-19,0
27,0,0,4.252046346664429e-05,0,0,0,-2.898275852203369e-05,0,-2.842170943040401e-14,0,-2.2715163083830703e-13,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
